date,time,open,high,low,close,tickvol,volume,spread,timestamp,ema20,ema50,atr,vwap
2025.10.14,03:37:00,24842.4,24849.0,24841.9,24845.4,267,0,100,2025-10-14 03:37:00,24822.018015788777,24790.918526103407,10.014285714285247,24676.188759831835
2025.10.14,03:38:00,24845.4,24848.8,24843.9,24844.9,208,0,100,2025-10-14 03:38:00,24824.197252380323,24793.035446648373,9.942857142856676,24676.27494332932
2025.10.14,03:39:00,24845.0,24847.9,24840.0,24842.7,268,0,100,2025-10-14 03:39:00,24825.959418820294,24794.983076191573,9.792857142856779,24676.38441065666
2025.10.14,03:40:00,24842.4,24844.0,24838.2,24842.0,265,0,100,2025-10-14 03:40:00,24827.487093218362,24796.82687712524,9.692857142856676,24676.492056118324
2025.10.14,03:41:00,24842.0,24842.0,24837.4,24840.8,241,0,100,2025-10-14 03:41:00,24828.754989102326,24798.55131331641,9.65714285714213,24676.589122223017
2025.10.14,03:42:00,24840.9,24841.5,24835.9,24836.9,260,0,100,2025-10-14 03:42:00,24829.530704425917,24800.055183382436,9.63571428571361,24676.691228310854
2025.10.14,03:43:00,24836.7,24842.0,24832.0,24841.5,232,0,100,2025-10-14 03:43:00,24830.670637337735,24801.680470308613,9.921428571427896,24676.78484145891
2025.10.14,03:44:00,24841.7,24841.9,24835.2,24837.4,208,0,100,2025-10-14 03:44:00,24831.311529019855,24803.081236178863,9.871428571428103,24676.866593254395
2025.10.14,03:45:00,24837.2,24837.5,24823.5,24828.9,330,0,100,2025-10-14 03:45:00,24831.081859589394,24804.09373672087,10.571428571428052,24676.98926649405
2025.10.14,03:46:00,24828.9,24832.9,24826.8,24827.2,328,0,100,2025-10-14 03:46:00,24830.71215867612,24804.9998646926,8.778571428571013,24677.109637950798
2025.10.14,03:47:00,24827.0,24830.5,24815.3,24816.5,318,0,100,2025-10-14 03:47:00,24829.358619754585,24805.45085039093,8.578571428571065,24677.2178489211
2025.10.14,03:48:00,24816.7,24823.3,24813.0,24820.2,349,0,100,2025-10-14 03:48:00,24828.486370254148,24806.029248414816,8.5642857142853,24677.339565242848
2025.10.14,03:49:00,24820.4,24823.8,24816.7,24820.7,293,0,100,2025-10-14 03:49:00,24827.744811182325,24806.604572006392,8.13571428571387,24677.441948331467
2025.10.14,03:50:00,24820.7,24821.0,24816.5,24820.8,225,0,100,2025-10-14 03:50:00,24827.083400593532,24807.161255457122,7.842857142856831,24677.520525756776
2025.10.14,03:51:00,24821.0,24825.8,24819.4,24824.7,324,0,100,2025-10-14 03:51:00,24826.856410060816,24807.849049360764,7.792857142856779,24677.636601852893
2025.10.14,03:52:00,24824.3,24825.7,24818.5,24822.5,271,0,100,2025-10-14 03:52:00,24826.44151386455,24808.423596444656,7.957142857142701,24677.73209937508
2025.10.14,03:53:00,24822.5,24824.5,24819.8,24821.0,223,0,100,2025-10-14 03:53:00,24825.92327444888,24808.916788740946,7.728571428571221,24677.809774575024
2025.10.14,03:54:00,24821.0,24821.3,24817.4,24818.9,239,0,100,2025-10-14 03:54:00,24825.254391168037,24809.308287221695,7.592857142856831,24677.89170989744
2025.10.14,03:55:00,24819.0,24823.8,24819.0,24823.5,219,0,100,2025-10-14 03:55:00,24825.08730629489,24809.864824977707,7.614285714285351,24677.969151710913
2025.10.14,03:56:00,24823.8,24825.0,24822.0,24822.8,172,0,100,2025-10-14 03:56:00,24824.869467600136,24810.372086743286,7.428571428571169,24678.029623587794
2025.10.14,03:57:00,24822.8,24823.5,24819.5,24820.3,165,0,100,2025-10-14 03:57:00,24824.434280209647,24810.761416674923,6.99999999999974,24678.08658600801
2025.10.14,03:58:00,24820.3,24824.9,24820.3,24824.2,145,0,100,2025-10-14 03:58:00,24824.41196780873,24811.288419942575,6.849999999999844,24678.137977984345
2025.10.14,03:59:00,24824.0,24830.5,24824.0,24829.0,254,0,100,2025-10-14 03:59:00,24824.84892325552,24811.982991709534,6.314285714285559,24678.230871066124
2025.10.14,04:00:00,24829.0,24829.8,24823.5,24825.8,374,0,100,2025-10-14 04:00:00,24824.939501993085,24812.524835171906,6.328571428571065,24678.36454393529
2025.10.14,04:01:00,24825.5,24829.4,24817.4,24828.4,342,0,100,2025-10-14 04:01:00,24825.269073231837,24813.14739065536,6.099999999999584,24678.488719622874
2025.10.14,04:02:00,24828.0,24829.0,24821.9,24823.0,306,0,100,2025-10-14 04:02:00,24825.05297101928,24813.533767492405,5.871428571428104,24678.595654224147
2025.10.14,04:03:00,24823.2,24826.7,24819.9,24821.5,297,0,100,2025-10-14 04:03:00,24824.714592826967,24813.846168767213,5.849999999999584,24678.69821591253
2025.10.14,04:04:00,24821.2,24821.9,24805.2,24809.7,377,0,100,2025-10-14 04:04:00,24823.28463160535,24813.6835739136,6.721428571428207,24678.817451629886
2025.10.14,04:05:00,24809.7,24810.3,24790.2,24790.9,475,0,100,2025-10-14 04:05:00,24820.20038097627,24812.79010042679,7.699999999999688,24678.94583880949
2025.10.14,04:06:00,24791.3,24816.9,24791.3,24813.2,385,0,100,2025-10-14 04:06:00,24819.53367802615,24812.806174919857,9.042857142856779,24679.070369246045
2025.10.14,04:07:00,24813.2,24822.8,24810.2,24817.7,374,0,100,2025-10-14 04:07:00,24819.359042023658,24812.998089628883,9.607142857142337,24679.19517181949
2025.10.14,04:08:00,24817.3,24823.9,24813.3,24814.2,330,0,100,2025-10-14 04:08:00,24818.867704688073,24813.04522336893,10.085714285714078,24679.30232727063
2025.10.14,04:09:00,24813.9,24814.4,24805.4,24810.5,353,0,100,2025-10-14 04:09:00,24818.070780432066,24812.945410687797,10.378571428571377,24679.413624227687
2025.10.14,04:10:00,24810.2,24819.7,24807.2,24807.4,336,0,100,2025-10-14 04:10:00,24817.05451562901,24812.727943602004,11.057142857142805,24679.51688489753
2025.10.14,04:11:00,24807.7,24815.9,24805.7,24814.9,309,0,100,2025-10-14 04:11:00,24816.84932366434,24812.81312228428,11.5,24679.617261567702
2025.10.14,04:12:00,24814.9,24819.4,24812.4,24817.8,300,0,100,2025-10-14 04:12:00,24816.939864267737,24813.008686116267,11.671428571428416,24679.716658354595
2025.10.14,04:13:00,24817.5,24821.5,24816.0,24819.7,299,0,100,2025-10-14 04:13:00,24817.202734337476,24813.271090582297,11.599999999999843,24679.816942805184
2025.10.14,04:14:00,24819.4,24820.9,24814.4,24815.0,267,0,100,2025-10-14 04:14:00,24816.992950114858,24813.33889095162,11.61428571428561,24679.90336829251
2025.10.14,04:15:00,24814.9,24816.7,24802.3,24804.3,323,0,100,2025-10-14 04:15:00,24815.784097722964,24812.984424639795,11.785714285714286,24679.999503771956
2025.10.14,04:16:00,24803.8,24807.2,24800.5,24803.8,281,0,100,2025-10-14 04:16:00,24814.64275508268,24812.62425112451,11.757142857143013,24680.0826819436
2025.10.14,04:17:00,24804.0,24808.8,24803.0,24804.8,203,0,100,2025-10-14 04:17:00,24813.70534983671,24812.31741774708,11.685714285714441,24680.143187146452
2025.10.14,04:18:00,24805.0,24812.2,24803.8,24811.9,257,0,100,2025-10-14 04:18:00,24813.533411757024,24812.301048423666,11.092857142857351,24680.22406124759
